0:00ten nine eight seven six five four while your way of really listening
0:088 secondsyeah why you're like city to office no Eric ten nine your internet slow it's not in the end I'm at the end as well
0:1818 secondsdid it be it's gobbing room in DNS server hey guys this is Lucas from betta coding
0:2525 secondsAcademy we're back with the manga reader finally a lot of fun finally what's been busy life's been hard but we are back because we promise you this content and
0:3434 secondswe will not stop until we have to make a readability and patrick has his mega reader all done so he can use it yeah
0:4242 secondsmight be why no I'm starved of minger I know thanks to you so what's your solution just animate
0:5050 secondsyeah crunchyroll it's being it's been crap right now it's just all this like you said kind of garbage cannot relate
1:001 minutewhatever I don't know yeah alright okay so we had something which like you can do this and then you can press that and
1:081 minute, 8 secondsthen it gives us that URL button that your else doesn't do anything why is
4:124 minutes, 12 secondscan fetch it actually no we have to fish
4:204 minutes, 20 secondson the fly why because we're technically
4:254 minutes, 25 secondsnot missing any just two minutes yeah it's not a single it's not a single
4:334 minutes, 33 secondsrequest so we can't just like did Ossining eden yeah and if we fetch on
4:414 minutes, 41 secondsthe fly and serve the previous version kind of like no point okay fair enough
4:474 minutes, 47 secondsyeah so oh okay no because there's a last chapter update
4:564 minutes, 56 secondsso oh okay see the last you have to update yeah so what we can do is every
5:055 minutes, 5 secondssingle day we compare the values and we fetch the ones that are updated so that
5:115 minutes, 11 secondswill limit the scope not really because if you don't fetch it how do you know
5:195 minutes, 19 secondsbecause the last chapter has been updated oh you mean from the other one
5:245 minutes, 24 secondsfrom the Elm this one yeah yeah yep so
5:315 minutes, 31 secondswe can do like two filters we can do the ones maybe you like all right the ones that have a rank or past a certain
5:395 minutes, 39 secondsamount or something like top 500 okay and plus the ones that are updated which would mean maybe we'll only do like the
5:475 minutes, 47 secondshunter request or something - man gaiden and then the rest we can just switch on the fly cause who the hell reads like other crap
5:545 minutes, 54 secondsso we basically use LD yeah I mean do we
6:026 minutes, 2 secondswant to complicate it maybe let's just do it on the fly first and then we will implement that one yeah I think I want
6:096 minutes, 9 secondsmy stuff we've already skies like what like 40 episodes no not 40 feels like 40
6:156 minutes, 15 seconds10 10 10 episodes yeah whatever I mean yeah just go in the fly let's just have
6:226 minutes, 22 secondsto software engineering you talk about the scope and you realize the scopes creep and then you go now you see the
6:316 minutes, 31 secondsgreat thing is that we get to choose the scope the problem is that when a client chooses the scope you have no choice but to creep with the client nice of you
6:406 minutes, 40 secondscharging them because amount be their eyes maybe like ten thousand dollars then do another two weeks that's why you always charge them like at least double
6:506 minutes, 50 secondswhat you expect you always start with double think about what they want yeah yep and you actually you actually never end up
6:576 minutes, 57 secondsif you if you do double because it always ends up working out just perfectly fine anyways so this is how I
7:057 minutes, 5 secondsdo ID and then we can probably implement something like chapters - I don't know -
7:127 minutes, 12 secondschapter ID or whatever right let's have a look so the prologue well yeah we have
7:227 minutes, 22 secondsthis already all right oh well we chopped us no we don't need this at all because we're not clearing our thingy
7:287 minutes, 28 secondsright we're not clearing out graph this information comes from oh okay now we
7:377 minutes, 37 secondscan proxy yeah which is the back you all right yeah that's clear yeah yeah just broke see you okay so this should be
7:467 minutes, 46 secondssafe for work right it's okay yeah that's cool if it's yeah there's no spin
7:537 minutes, 53 secondsoff a loss let's grab this one okay so
8:018 minutes, 1 secondokay so that gives you the images cool mmm gives you the pages of the chapter and then how do we use this thing again
8:098 minutes, 9 secondsnice as dimensions we do this one okay
8:168 minutes, 16 secondsso we don't need to actually like download the image we just load it straight onto there that computer yeah
8:228 minutes, 22 secondsokay that should give us cool okay yep
8:288 minutes, 28 secondsyep yep okay hmm this is so funny man like what's the
8:398 minutes, 39 seconds40 what's this and what's that page number page not - did I mention this is the dimensions of the image right yeah
8:478 minutes, 47 secondsalso annoying about that no it's like why don't you just put it in an object like why would you use okay yeah it is it's an array where the index is the key
8:568 minutes, 56 secondsit's the first I ran over Batman this is this is the kind of stuff you see in corporate dude come on
9:029 minutes, 2 secondstrue true true true teacher okay so what
9:099 minutes, 9 secondsdoes I mean I'll just happen together and you let me know if you you need to UM if you want to suggest any changes so
9:169 minutes, 16 secondswe've got oh boy wait what wait what am
9:239 minutes, 23 secondsi think you chuck did when did we do this no we definitely did this so a
9:309 minutes, 30 secondsMingo is correct Oh also we use I don't know why we did this but I think it's because
9:379 minutes, 37 secondsoh because this data needs to come from you the server so we actually said this like a couple episodes ago is that this
9:469 minutes, 46 secondsdata we have like locally and then info we fetched from the server which is this yeah so I think that's why yeah yeah
9:549 minutes, 54 secondsyeah so info absolutely and then ID and then chapters
10:0210 minutes, 2 secondsokay so chapters doesn't have anything else inside at the moment so probably do like chapter image or something or just
10:1110 minutes, 11 secondsimages as an array up the image because I think we don't even do even need a
10:1910 minutes, 19 secondstype like we just literally at a write of strings right what do you think no we need two dimensions nothing really
10:2510 minutes, 25 secondsokay yeah we need with definitely your dimensions and the index index so you
10:3310 minutes, 33 secondsknow yeah so we yep I mean if it's an
10:4210 minutes, 42 secondsarray with any be index for yeah yes we may be in this I don't think we need it no no if we're not doing all
10:5110 minutes, 51 secondsright and then just URL URL URI which one do you like to use I don't okay your
11:0111 minutes, 1 secondletters W uvw string and then images
11:1111 minutes, 11 secondslike that yeah yep cool looks good can the like see this is where alphabetical
11:1911 minutes, 19 secondsor what it makes no sense a height should be next to the width the URL should be first like why would you separate hi Emily just because of
11:2811 minutes, 28 secondsalphabetical order but it doesn't make sense they do eyes did not like let's just be honest with nothing makes sense
11:3611 minutes, 36 secondsdata wise like you hate be honest with yourself just makes no sense you write the code today and it makes
11:4311 minutes, 43 secondssense to you today and then you come back 30 days from now you look at the same order and it looks wrong no man
11:5311 minutes, 53 secondsheights men to me next to that with man like that just make sense to me but whatever you know whatever I'm writing
11:5911 minutes, 59 secondsbe code okay okay yeah it's fine right we have info okay so we haven't built info all we have what the heck dude
12:0912 minutes, 9 secondswe've done so much work that I've forgotten about this is praising goodness me okay so so we already have the chapters okay that makes it easy
12:1612 minutes, 16 secondsthen oh we are nice we've done everything so all we need to do is dude we're like well we're so good like we're
12:2512 minutes, 25 secondsso our memory is so bad and we take so long that we've forgotten the work we do so then what do we have chapter name by
12:3212 minutes, 32 secondsany means yeah we know I think we do so name or what title oh yeah see see
12:4212 minutes, 42 secondsnot bad you know this just render big break okay so we've got chatter and then
12:4812 minutes, 48 secondswe put chapter in here a resolver oops
12:5512 minutes, 55 secondsand then we've got chatter and chapter renders what renders images that's the
13:0113 minutes, 1 secondone we need to do so images acing
13:0813 minutes, 8 secondschapter obj auditor okay so then we just use the ID his ID
13:1913 minutes, 19 secondswell how do we get the ID huh euro maybe
13:2613 minutes, 26 secondsoh okay maybe no okay so maybe it was already on the manga so like when we
13:3413 minutes, 34 secondsgrabbed their kid so this is the manga
13:3613 minutes, 36 secondsand what oh maybe we did it here oh okay
13:4813 minutes, 48 secondsyeah see that's what we did is we we had a transform chapters you know honestly I don't remember any of this
13:5513 minutes, 55 secondsI genuinely have no clue but that's what we appear to do so we took the arrays because this one here yes is an array
14:0314 minutes, 3 secondsand then we shuffled it you know we do this so now we have the ID which means we can use the ID to do this so yeah
14:1314 minutes, 13 secondswhat's the correct move here we put it into here fetch chapter images I mean
14:2414 minutes, 24 secondswe've got to put it inside maybe you don't write yeah I guess yeah I'm thinking about like more the design
14:3314 minutes, 33 secondsright now like but yeah continue what do
14:3914 minutes, 39 secondsyou mean no just like the kind of the UX like how do we want to display the damn
14:4614 minutes, 46 secondsthing so I know this don't new we don't have a problem getting the information
14:5314 minutes, 53 secondslike it's just a matter of figuring it out right here the fact that archive insert but I'm not convinced we want
15:0115 minutes, 1 secondthat intermediate sorry page like you know the this stack the second paper
15:0915 minutes, 9 secondsyeah I'm not I'm not that convinced we need this page it just seems like an extra click to me why do I like this
15:1615 minutes, 16 secondspage yeah you're probably right honestly there's no point right if you just yeah if you if you know what you're looking
15:2415 minutes, 24 secondsfor and that's the assumption then yeah you go in your say you get automatically put to to chapter one or whatever right
15:3215 minutes, 32 secondsand you're like oh wait a second I'm on chapter 37 then you just you just go to it like it should just be easy for you to change it on the fly
15:3915 minutes, 39 secondsyeah yeah yeah yeah we can do book you know some bookmark latest feature later but it's like because I first played you so empty can we just list the chapters
15:4815 minutes, 48 secondsunder the search bar once you click on the damn thing oh you mean you mean like so we do like say science and then right where to go
15:5715 minutes, 57 secondsI'm building this ever but once it comes up then then you just like you click on it and then after you click on it it like something pops out and yeah just
16:0616 minutes, 6 secondssomething small renders underneath okay or you could even render it like ahead of time and you can just click straight on it right oh yeah I guess but you'll
16:1616 minutes, 16 secondsbe making a lot of fetches yeah cuz just everything in the list okay well that's fair I think this parts all the same though so yes this must be the
16:2416 minutes, 24 secondssame which is one not something about it yeah so this is okay so we do chapter slash chapter ID which before slash at
16:3316 minutes, 33 secondsthe end dot then res okay and then we do oh that's not bad about chapters equals
16:4216 minutes, 42 secondsa white Dodge images people transform images right those are images turns red
16:5016 minutes, 50 secondsand then we grab transform images and we writes it out so images images not map
16:5916 minutes, 59 secondsand then the first one is number in there okay index URL with the hype and
17:0917 minutes, 9 secondswe don't really need the index here do we oh no just pretend anyway so just URL
17:1517 minutes, 15 secondswith time okay height index URL with no I'm sorry no no [ __ ] that it's so you know not man
17:2617 minutes, 26 secondsit's not that bad index URL you can't
17:3317 minutes, 33 secondseven decide that's fine we for the other two you like it's just yeah
17:3917 minutes, 39 secondswhy is he next in the middle I just like to think that even though
17:4617 minutes, 46 secondsyou might not agree with my rules that I'm more consistent with my rules and my coding style that's all I'm gonna say okay and I think that consistency pays
17:5517 minutes, 55 secondsoff it does I think it does I genuinely do well alphabetical order doesn't even whatever no whatever
18:0418 minutes, 4 secondsyeah okay whatever just it on this guy D next time so can hear the top that's actually that's actually what people would do
18:1218 minutes, 12 secondslike seriously maybe like if you enforce alphabetical props and like you can do this in like yes Lynn Wright is if you enforce it and people don't like it
18:2018 minutes, 20 secondsthey'll start putting random characters at the start I say it's in corporate they'll do like underscore zero to put something at the sign so just to do that
18:2718 minutes, 27 secondsintroduces ears Lynn just stop on this cool constant constant battle and then
18:3518 minutes, 35 secondswe do chapter ID right so there's so many phones caps are everyday to ID and then we return res got data got images
18:4518 minutes, 45 secondsright yep okay yeah it looks right to me no we give it a try it oh thanks for running and it is
18:5318 minutes, 53 secondssorry then we go here and we do run okay and then we do a refresh real quick
19:0019 minutesimages and what was it URL hi hi weeds
19:0719 minutes, 7 secondsthat there for you there you go that's okay okay so we get all the images all for
19:1619 minutes, 16 secondsthe URL um we should prepend the thing right yeah yeah yeah yeah we should oh yeah we should do it so we just we
19:2619 minutes, 26 secondshave that somewhere yeah er L oh no this one's slightly different it's pretty
19:3419 minutes, 34 secondsit's pretty in a constant anyway somewhere I like just where the top
19:4219 minutes, 42 secondslike is the fine yeah that's fine
19:5319 minutes, 53 seconds[Applause]
19:5419 minutes, 54 secondssweets that should be good and then we should be able to go here do this again
20:0020 minutesand we get that and we're gonna grab glass and we do that and it's cool cool
20:1020 minutes, 10 secondsboy is it cool oh that's the mad scientist guy right and who's that it's
20:1720 minutes, 17 secondsthe other character that's Misaki wait what no creature it's QVC Misaki yes
20:2420 minutes, 24 secondsit's the redhead girl anyway but she's one that's on its windy day right stop smiling spoiling any female this thing's
20:3320 minutes, 33 secondsbeen out since last warning since I was warning you you never know man people might want to watch it now or either now inclusive Oh No okay fair enough fair
20:4120 minutes, 41 secondsenough but I don't know anything about other than like she has red hair which is pretty obvious anyways okay so now
20:5020 minutes, 50 secondswhat okay now yeah now let's put the thing at the bottom so when you click on
20:5620 minutes, 56 secondsit let's just render all that do is render something I agree that meant design that's harder than you think man
21:0321 minutes, 3 secondsit's actually harder than you think because of freaking end design man we shouldn't have done it we killed ourselves would have taken
21:1121 minutes, 11 secondslike the same amount of time seriously no using less everything is in global
21:1821 minutes, 18 secondsnot less this is so bad we have a comment section called hat it's a design
21:2421 minutes, 24 secondslanguage I'm sure all we need is a list
21:3321 minutes, 33 secondsI don't even know them right the issue no I think it's the main issues that like when you when you search right and
21:4021 minutes, 40 secondsyou have these options what actually happens is when you click on it it automatically redirects I think that's the main issue see I'm changed right
21:4821 minutes, 48 secondswhich trig was wait wait what wait this is not it all right we have another thing which is
21:5821 minutes, 58 secondsa link it's your link all right oh oh there it is okay okay yeah okay let's find it I go it's fine
22:0622 minutes, 6 secondscool ant design how do you sit in your
22:1522 minutes, 15 secondschair do you like head forward or do you do like there are two types of bad posture right there's like your butt comes out
22:2322 minutes, 23 secondsand sit like this well like go ahead and you sit like that yeah yeah but comes out I think is more common for me yeah did that hurt my back some energy I've
22:3222 minutes, 32 secondsbeen trying to do more like like literally do more hunching cuz every time I do the other one like it just hurts my back really yeah because like
22:4022 minutes, 40 secondsif you do a place three flowers a day you're gonna do yeah you won't die [ __ ]
22:4522 minutes, 45 secondsI don't mean you you want to die before I die you're already than me you're like oh that's it why doesn't mom look at it
22:5422 minutes, 54 secondsin that oh you he's so young he looks so young 4:15 I don't know you Patrick I'm not 50 man tell everyone you're 50 that
23:0323 minutes, 3 secondsway you can say you look young it was like wow you look so young pH you know that's I do I tell everyone I'm 50 and I do you look so young
23:1223 minutes, 12 secondsanyways yeah please waitlist or like I'm
23:2023 minutes, 20 secondsthinking like buttons across like circles or something right because I
23:2923 minutes, 29 secondsimagine see I click on this and you have like little circles like this mistake or something and they just say like the number 1 2 3 4 5 so do we see that how
23:3823 minutes, 38 secondsdo we see the chapter name oh oh you on the name is all fair enough okay
23:4723 minutes, 47 secondslisto yeah it's good that I've actually seen
23:5523 minutes, 55 secondsthis happen before so sad yes yeah we can you click on it I'm
24:0724 minutes, 7 secondspretty sure you can oh yeah we just need to put we just need to put the image somewhere what the heck what isn't
24:1624 minutes, 16 secondsthat's the yeah sorry what's wrong I
24:2324 minutes, 23 secondsjust oh yeah well I guess it's fine but we need um we need a think where to put
24:3024 minutes, 30 secondsthe image of manga like we don't care about the title to be honest I mean we didn't care about the individual chap
24:3824 minutes, 38 secondschop the images just we need like the actual manga cover someone let me see if
24:4824 minutes, 48 secondsthis works we can go from there okay also just okay not too bad cuz then we
24:5824 minutes, 58 secondstake you go down right and like it's the same thing okay 1 2 3 4 5 6 7 8 down yeah what do we do
25:0725 minutes, 7 secondsabout the image for the thing just put us in there I know man just put it somewhere well
25:1325 minutes, 13 secondshow did images are we working like that well we only care about the we only have
25:2125 minutes, 21 secondsa small image right like how big is a mega image yeah oh this is bad how can
25:2625 minutes, 26 secondswe do that yeah yeah fix it manga even
25:3325 minutes, 33 secondsthe chairs there it is oh we can't really fix that
25:4225 minutes, 42 secondsanymore why because it's already in the database just receive the DD okay okay
25:5425 minutes, 54 secondsso how do I play this right click remove all documents yes refresh cool and then
26:0526 minutes, 5 secondsturkey ctrl C go there not that one this one here it's called
26:1126 minutes, 11 secondsour New Zealand Parliament jeez yato NPM
26:2126 minutes, 21 secondsprefering p.m. with 3 years young done so we did oh we got more than last time
26:2926 minutes, 29 secondsI'm pretty sure last time we didn't have that Mason yeah make sense make sense ok
26:3526 minutes, 35 secondsso we should be able to do this again cool let's see what we're working with
26:4326 minutes, 43 secondswell we know this is the site day one okay I mean that's pretty big we can
26:5026 minutes, 50 secondsactually do something we should show you the big one like it's too small for a thumbnail in the list why is too big for Thunder at least see
26:5826 minutes, 58 secondsthat what we do we need some inspiration man where's a designer there's no one to
27:0827 minutes, 8 secondsask what if we describe what you have a UX design can we look look at her look
27:1527 minutes, 15 secondsat our page okay honestly though it's not that bad and just put it something like if we look if we have safe example
27:2227 minutes, 22 secondsoh I'm trying to demonstrate so we have this link okay and this one could be
27:3127 minutes, 31 secondsrepeated by quite a few times right so with a link like this and then it becomes something like that you could
27:4027 minutes, 40 secondsjust have the image like from here to there no no I disagree okay I don't think it should be in the list I think you should be after you click on
27:4827 minutes, 48 secondsit cuz like you're gonna make people down these massive images oh no I mean like
27:5627 minutes, 56 secondswhen you click on it better expense right cuz not a lot of my job I I don't know I just I don't know where else you
28:0428 minutes, 4 secondscould put it yeah okay yeah if you want to expand in line sure but I don't really think we should expand it in line
28:1328 minutes, 13 secondsI think we should click on it the autocomplete should collapse and then what your selected it should be on an
28:2028 minutes, 20 secondsactual page oh okay that yeah that's pretty good yeah so yeah and then after like researching them to find me manga so
28:2828 minutes, 28 secondsthen the way it would work is you have say with this look so we do this right I quit that stays the same yeah I picked back down and then
28:3628 minutes, 36 secondssomething pops up well the thing no the thing closes the list will collapse so
28:4428 minutes, 44 secondsyou click on it and then it classes the village okay yeah you know it will be somewhere on the page yeah and then and then like it might say signs whatever
28:5128 minutes, 51 secondshere it just says that there and then we have just appear down here yeah yeah like hell like what would it be an individual
29:0029 minutespage I guess be there yeah the reason why I don't want to make the list any longer because like you don't want you don't want too much stuff in your list
29:0829 minutes, 8 secondsyeah otherwise I have to scroll further to reach what they want that is fair so
29:1829 minutes, 18 secondswe get rid of this right yeah we don't need that what's for now I suppose they need it like you might want to save the link something because we still need it
29:2629 minutes, 26 secondsit's just in a different spot now like we still need most of these code yeah
29:4329 minutes, 43 secondstest oh nice and then we have okay so then if I click on it yeah click that one it does that
29:5229 minutes, 52 secondsand then something appears have you okay yep okay so alright that's yeah hmm
30:0430 minutes, 4 secondsright so we can go into here so that
30:1030 minutes, 10 secondswhen you click on it something like that
30:1930 minutes, 19 secondsand then not the ID just the full manga I think because you need you need the manga too because the images are in the
30:2730 minutes, 27 secondsmanga as well we just put the whole
30:2930 minutes, 29 secondsMenger in the state yes mas I have some
30:4230 minutes, 42 secondsmechanical keyboard going crap really yeah it doesn't work well for Matt cause
30:4930 minutes, 49 secondsthe lair like the X in the hole so your Mac layouts the command in the X is kind of line but on though isn't it kind of
30:5630 minutes, 56 secondsthese windows so it just doesn't really work and then also the slight shift in the lair means you have to when you
31:0431 minutes, 4 secondsswitch between the laptop in the keyboard you have to like type differently I think yeah which is not
31:1231 minutes, 12 secondsgood yeah so I think people just should just stick to the magic keyboard yeah probably should touch the image as well
31:2131 minutes, 21 secondsthen if doing that yeah and then we can do like
31:3231 minutes, 32 secondsokay yes something like that and just listing out the chapters on yeah yeah
31:4031 minutes, 40 secondsprobably want to cap the dimensions somehow it's actually only that big like
31:4531 minutes, 45 secondsthe way cuz I do pretty big man yeah yeah absolutely I'm just so make the
31:5631 minutes, 56 secondsimage of its smaller put on the left and then have chapters on the right and the description yes yeah so so let's make I
32:0332 minutes, 3 secondsthink let's make like a hey like that component that encapsulate that thing
32:1132 minutes, 11 secondswhat do you mean okay like like similar to a social component we should have a component a encapsulate oh yeah that's
32:2032 minutes, 20 secondswhere oils in there then you should take your manga and manga I mainly want the
32:2732 minutes, 27 secondsdescription as well yeah probably okay just grab a chocolate there yeah
32:3532 minutes, 35 secondsjust we need manga and maybe info you as
32:3832 minutes, 38 secondsa probe fetch manga info info chapters
32:5032 minutes, 50 secondsdescription and then inside a mega info
32:5732 minutes, 57 secondsthey do description is a string and then we should be able to go ta and drew in
33:0533 minutes, 5 secondsfire and then description come on there we go awesome
33:0933 minutes, 9 secondsgreat so we create a component where
33:1933 minutes, 19 secondswell probably now we should probably probably you turn home into like a
33:2833 minutes, 28 secondsfolder on the inside you have um home index okay yep yeah say for example this
33:3733 minutes, 37 secondscomponent do you like to call it home da JSX or index or JSX no home yeah me too
33:4533 minutes, 45 secondssomething will do index men are so annoying because you have like 50 index
33:5033 minutes, 50 secondsfiles yep pretty much
33:5533 minutes, 55 secondsum yeah and then we won Hey oh you might
34:0334 minutes, 3 secondshave to clear your fossil cage you know hopes that if he gets a bit confused between if things home is home /index oh
34:1234 minutes, 12 secondsno things is cached homers home Jay s but now it's home slash index so the case is confused make sense did possible
34:2134 minutes, 21 secondshas its own set of issues man I'm here does why you know buddy Pete see he kind of is sitting a web pack yeah it is you
34:2834 minutes, 28 secondscan't use Babel doc config Dutch is use it solution just don't just don't do
34:3434 minutes, 34 secondsanything you have to use Babel I see doesn't support caching
34:4734 minutes, 47 secondswow-whee computer slow and this is my
34:5434 minutes, 54 secondsvalentine's day bro and you're spending with me those are nice not nice
35:0535 minutes, 5 secondswell this is the life of a program mmm
35:1535 minutes, 15 secondsPatrick's already 50 and he's still coding I'm not 50 bro oh my god stop I'm gonna sue you too
35:2735 minutes, 27 secondswell then why do you possible actually really slow yeah I don't know why Oh cuz up I don't know the cash it's
35:3535 minutes, 35 secondsprobably empty Andy's like huge probably way anyways not just true okay yeah
35:4335 minutes, 43 secondsseems fine I probably speak anyone man
35:5035 minutes, 50 secondsif I just click anyone okay fine cool so some of their images seem to be broken but that is okay we are going to do a
35:5835 minutes, 58 secondscomponent in here call it Mangala details or something yeah anybody else
36:0536 minutes, 5 secondsmake sense to me oh we probably don't need to yeah make a folder yeah I am I'm
36:1336 minutes, 13 secondsgonna guess it's just like one file so you just pull it straight next to it
36:1836 minutes, 18 secondsyeah yeah see this is what we were
36:3136 minutes, 31 secondstalking about right it's like if you've got mega details don't split up the props and pass them individually just pass the whole mango yeah exactly it
36:3936 minutes, 39 secondslike it makes sense to me man like yeah like well it's kind of how the Select thing yeah like it's like like so might
36:4836 minutes, 48 secondsbe but don't do this basically because that's that and and then you're just like kind of causing pointless confusion yeah yeah yeah exactly
36:5736 minutes, 57 secondsto the point yeah just you know work with your highest working for your mental model you know there's like when
37:0637 minutes, 6 secondsyou architect things right you think about your classes objects and how they move around in your back end to the
37:1337 minutes, 13 secondsfront end etc you don't think about ah you know get the image from here and you move it you don't want to meet up it's all about object houses and objects
37:2137 minutes, 21 secondseverything full objects yeah so I think react you should find a similar approach mentally do we put the
37:2937 minutes, 29 secondsCSS in here again unless if it's a specific UI generic component then it needs to be decoupled manga details
37:4637 minutes, 46 secondsminute details wrap on thumbnail cool
37:5937 minutes, 59 secondshey just fine whatever yeah it's fine
38:0738 minutes, 7 secondsmax width is going to be do use um do we
38:1438 minutes, 14 secondsuse pixels and what do we use breath max height is going to be 10 I don't know or
38:2138 minutes, 21 secondswhat does it how does it yeah we're just it like I think they're all different
38:2938 minutes, 29 secondsheights likes different ratio are just max ice so yeah we might not need a max
38:3538 minutes, 35 secondsheight I mean that's good enough I think
38:4338 minutes, 43 secondswe should probably object fit it because I doesn't look slightly no it's fine
38:5138 minutes, 51 secondsyeah yeah yes yeah we should give it something yeah yeah right that's fine
39:0039 minutestoo yeah probably want description somewhere
39:0839 minutes, 8 secondslight on the right hand side probably want the title no we don't need the title is really happy in the search bar
39:1339 minutes, 13 secondsyep hi forget the door I did forget to
39:2339 minutes, 23 secondsdo it
39:3739 minutes, 37 secondsClaude you broke everything man why how
39:4439 minutes, 44 secondsoh it's just ridiculously slow down Oh cuz just Oh clear cause you're fetching
39:5339 minutes, 53 secondsthe description of like while it's listed that's why you want to guys
39:5839 minutes, 58 secondsactually cuz it's fine huh no it's not
40:0640 minutes, 6 secondsoh it's pretty good yeah that's probably good slogan just like it literally just like died or something so I think the
40:1540 minutes, 15 secondssolution yeah see this is Phoebe yeah so we get rid of this and we put another
40:2140 minutes, 21 secondsquery here right because it's how I'll get ugly yeah yeah you can't you can't
40:2940 minutes, 29 secondsfetch it together in one good because that's the entire point of splitting it up then in that case you don't even you touch this here right like literally
40:3640 minutes, 36 secondsjust that's it and then we go here no
40:4940 minutes, 49 secondsyou still need it yeah Idid I see see I
41:0841 minutes, 8 secondsdon't really like that but yeah like what the image should be long with the first query oh you mean just just that's
41:1741 minutes, 17 secondswhat you need on the second one yeah so the first one you're specifically fetching a mango the second one you're
41:2541 minutes, 25 secondsspecifically fetching manga info so like right now it's like what the hell is this right this is like mango which may
41:3241 minutes, 32 secondsbe info but only partially because what I'm thinking breaking up the mob yeah yeah because the way I see it is like
41:3841 minutes, 38 secondsthen we change mega details to accept only an ID or is that bad no that's fine
41:4741 minutes, 47 secondsoh no no that's probably bad why do you want to research now we're not refreshing it's just we're not using
41:5541 minutes, 55 secondsthe image here right because we're not making use of the image in this one so we're using image here and also because
42:0342 minutes, 3 secondswe're not using status nor title but the image is passed through the prompt yeah yeah yeah I mean like you can do
42:1142 minutes, 11 secondsthat but then it's like while do we pass it through instead just pass the pass an ID cuz then we need to fetch it anyways
42:1842 minutes, 18 secondsyou don't you only fetching manga info okay alright well either way I'm fine
42:2642 minutes, 26 secondseither method so that this one still shows image and this one we wait you evening you're typing even like you just think about your typing if you type
42:3342 minutes, 33 secondsthese things gonna be weird because then image is gonna be optional like so then you're passing a manga object without an image which kind of breaks the typing
42:4142 minutes, 41 secondsunless if we put optional yeah yeah what I would have done is do manga ID here
42:4942 minutes, 49 secondsand then just set what I need before this component that's what I would have done I guess the main the other image to
42:5742 minutes, 57 secondsobject yeah I think the other thing is like because sometimes you work with the reactor browser and in the in the URL
43:0643 minutes, 6 secondsyou can only ever have an ID you can't pass the whole object in router is different because you can refresh so your memory is cleared yeah yeah which
43:1443 minutes, 14 secondsmeans that only you have to pass three identifies well we're not in this case honest if you wanna make that happen
43:2243 minutes, 22 secondsyeah I think it's fine I think your method is just fine so what do we do is
43:2943 minutes, 29 secondsput loading we bother to design a public I'm sure there's a little bit earlier oh
43:3643 minutes, 36 secondsyeah we just do that hey loader spin off spinning progress spin been this cool do
43:4743 minutes, 47 secondsthat spin very nice see same just at least happy now just today what it one episode I would
43:5543 minutes, 55 secondshave just written loading a like world that's not cool
